no,event_name,organizer,event_date,location,work_type,email_date
1,LỊCH TRÌNH KẾT NỐI DOANH NGHIỆP KW BIZ,SINASEAN VIETNAM,28/10/2025,,28/10/2025: Phiên dịch & Trợ lý ngôn ngữ trực tiếp tại bàn B2B,2025-10-27
2,Thông Dịch Viên Foodexpo 2025,,,,,2025-10-23
3,사전자료 [통번역공작소X다인펌프] 베트남 호치민 물 박람회 2025,,,호치민,,2025-10-03
4,출입증[통번역공작소 x 다인펌프] 베트남 호치민 물 박람회 통역 섭외 관련,,2025년 10월 19일,호치민,,2025-09-09
5,LỊCH TRÌNH KẾT NỐI DOANH NGHIỆP Busan Cosmetic Business Association,SINASEAN VIETNAM,26/8/2025,"Bay Hotel - 7A Ngô Văn Năm, Street, Quận 1, Hồ Chí Minh",26&27/8/2025: Phiên dịch & Trợ lý ngôn ngữ trực tiếp tại văn phòng doanh,2025-08-25
6,LỊCH TRÌNH KẾT NỐI DOANH NGHIỆP ULSAN 2025,SINASEAN VIETNAM,22/08/2025,Tầng 5 - Thiskyhall Sala Convention Center - 10 Đ. Mai Chí,20/08/2025: Phiên dịch & Trợ lý ngôn ngữ trực tiếp tại văn phòng doanh,2025-08-20
7,LỊCH TRÌNH KẾT NỐI DOANH NGHIỆP MEGA-US EXPO 2025,SINASEAN VIETNAM,,"14,15,16 /08/2025 - 8:00 AM","14,15,16 /08/2025: Phiên dịch & Trợ lý ngôn ngữ trực tiếp tại bàn B2B",2025-08-13
8,RE: 한베철도협력포럼 발표 관련 문의드립니다.,,2025-03-27,,,2025-07-31
9,MEGA-US EXPO 2025,MEGA-US EXPO 사무국,,,,2025-07-30
10,LỊCH TRÌNH KẾT NỐI DOANH NGHIỆP VIPREMIUM 2025,SINASEAN VIETNAM,12/06/2025,"799 Đ. Nguyễn Văn Linh, Tân Phú, Quận 7, Hồ Chí Minh",Phiên dịch & Trợ lý ngôn ngữ trực tiếp tại bàn B2B Meeting,2025-06-11
11,LỊCH TRÌNH KẾT NỐI DOANH NGHIỆP ICT COMM 2025,SINASEAN VIETNAM,14/06/2025,12~14/06/2025 - thời gian tập trung cụ thể SINASEAN VIỆT NAM sẽ,12~14/06/2025: Phiên dịch & Trợ lý ngôn ngữ trực tiếp tại bàn B2B,2025-05-24
12,LỊCH TRÌNH KẾT NỐI DOANH NGHIỆP Suwon Univ - 2024 Early Startup Package,SINASEAN VIETNAM,31/10/2024,7h45**(có mặt đúng giờ)*,Trợ lý ngôn ngữ trực tiếp tại văn phòng buyer Việt Nam,2024-10-30
